Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
KJ943248.1,Influenza A virus (A/Santiago/op17d0/2012(H3N2)),GenBank,GCA_038648365.1,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",J. Craig Venter Institute,USA,2014-07-13,,Alphainfluenzavirus influenzae,1731,complete,Chile: Santiago,,Homo sapiens,,2012-06-01
PP718697.1,human papillomavirus 83,GenBank,,"Ramos,E., Couto,R., Tozetto-Mendoza,T., Bortoletto,P., Barbosa,E., Ferreira,N., Linhares,I., Spandorfer,S., Costa,A., Leal,E., Mendes-Correa,M.","Federal University of Para, Institute of Biological Sciences",,2024-05-06,C09a_HPV83,Alphapapillomavirus 3,8331,complete,USA,,Homo sapiens,,2022-02-25
OR644785.1,Venezuelan equine encephalitis virus,GenBank,,"Carrera,J.-P., Arauz,D., Rojas,A., Cardozo,F., Stittleburg,V., Claro,I.M., Galue,Jf., Lezcano-Coba,C., Moreira,F.R.R., Felipe-Rivera,L., Chen-German,M., Moreno,B., Capitan-Barrios,Z., Lopez-Verges,S., Pascale,J.M., Sabino,E.C., Valderrama,A., Hanley,K.A., Donnelly,C.A., Vasilakis,N., Faria,N.R., Waggoner,J.J.","Imperial College London, School of Public Health",United Kingdom,2023-11-11,258379/Panama/2015,Venezuelan equine encephalitis virus,11442,complete,"Panama: Darien, Pinogana",,Homo sapiens,,2015
AB426609.1,Enterovirus B107,GenBank,set:AB426609,"Yamashita,T., Ito,M., Tsuzuki,H., Sakae,K., Minagawa,H.","Department of Microbiology; 7-6, Nagare, Tsujimachi, Kita-ku, Nagoya, Aichi 462-8576",Japan,2008-09-05,,Enterovirus B,7423,complete,,,Homo sapiens,,
PV563575.1,Enterovirus B,GenBank,,"Weiss,S.L., Bbosa,N., Orf,G.S., Berg,M.G., Ssemwanga,D., Kalungi,S., Balinandi,S., Mata,M., Bosa,H.K., Nabirye,S.E., Buule,J., Lutalo,T., Havron,A., Downing,R., Rodgers,M.A., Averhoff,F., Cloherty,G.A., Kaleebu,P.","Abbott Laboratories, Infectious Disease Research",USA,2025-05-03,MS22-10-0034/Human/UGA/2022,Enterovirus B,7308,complete,Uganda: Kampala,,Homo sapiens,blood,2022-10-31
KX214539.1,Influenza A virus (A/Hatay/02/2015(H1N1)),GenBank,set:4f37faa433de89d815c0add2a00005b4810f6d45,"Guldemir,D., Altas,B., Korukluoglu,G., Aktas,A.R., Bayrakdar,F., Durmaz,R.","Public Health Institution of Turkey, Microbiology Reference Laboratories Department",Turkey,2016-06-01,,Alphainfluenzavirus influenzae,1701,complete,Turkey,,Homo sapiens,oronasopharynx,2015-12-30
GU117629.1,Human papillomavirus 149,GenBank,set:GU117629,"Kohler,A., Gottschling,M., Manning,K., Lehmann,M.D., Schulz,E., Kruger-Corcoran,D., Stockfleth,E., Nindl,I., Koehler,A., Bravo,I.G.","Charite - Universitaetsmedizin Berlin, Clinic for Dermatology, Venerology und Allergology, Haut Tumor Centrum Charite (HTCC)",Germany,2010-12-31,10-18,Gammapapillomavirus 7,7333,complete,Germany,,Homo sapiens,lesion_tumor,
KF849760.1,Influenza A virus (A/Thailand/SirirajICRC_NMA_9/2011(H1N1)),GenBank,set:370f7fee22265cc6e0afb33f3634a27ff6212ab9,"Rattanarojpong,T., Wongprompitak,P., Pooruk,P., Lerdsamran,H., Phawong,C., Tassaneetrithep,B., Kongyu,S., Iamsirithaworn,S., Puthavathana,P.","King's Mongkut University of Technology Thonburi, Microbiolgy",Thailand,2014-08-29,,Alphainfluenzavirus influenzae,1410,complete,Thailand,,Homo sapiens,oronasopharynx,2011-05-14
MT501652.1,TT virus cyc/2019,GenBank,,"Zhang,T.","Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College, MOH Key Laboratory of Systems Biology of Pathogens",China,2020-07-07,cyc/2019,Torque teno virus,3753,complete,China,,Homo sapiens,,2019-06
KC175358.1,Norovirus Hu/Norwalk/10158/2009/VNM,GenBank,set:KC175358,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2012-11-25,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2009-08-20
NC_022789.1,Gyrovirus Tu789,RefSeq,GCF_000912415.1,"Gia Phan,T., Phung Vo,N., Sdiri-Loulizi,K., Aouni,M., Pothier,P., Ambert-Balay,K., Deng,X., Delwart,E., Phan,T.","National Center for Biotechnology Information, NIH",USA,2013-11-12,,Gyrovirus homsa2,2282,complete,Tunisia,,Homo sapiens,feces,2003
KC175344.1,Norovirus Hu/Norwalk/10054/2009/VNM,GenBank,set:KC175344,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2012-11-25,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2009-05-21
HM999995.1,Human papillomavirus 143,GenBank,set:HM999995,"Bottalico,D., Chen,Z., Dunne,A., Ostoloza,J., McKinney,S., Sun,C., Schlecht,N.F., Fatahzadeh,M., Herrero,R., Schiffman,M., Burk,R.D., Burk,R.","Albert Einstein College of Medicine of Yeshiva University, Microbiology and Immunology",USA,2012-06-01,CL3220,Betapapillomavirus 1,7715,complete,USA,,Homo sapiens,,2009
KU296291.1,Influenza A virus (A/Kannur/MCVR10276/2012(H1N1)),GenBank,set:50c5a6863af36cf0f34b95cdb8660f5e0cab56ba,"Anitha,J., Arunkumar,G., Ajees,A.","Manipal University, Manipal Centre for Virus Research",India,2016-01-16,,Alphainfluenzavirus influenzae,1410,complete,India,,Homo sapiens,oronasopharynx,2012-07-13
JN588786.1,Influenza A virus (A/Cambodia/T320/2009(H1N1)),GenBank,set:1895d6c678a8733cb92fc7fd5272e64b469cad39,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Kandal,,Homo sapiens,,2009-09-10
KR733226.1,Influenza B virus (B/Taiwan/70094/2009),GenBank,set:d68407a68a8dff88c9cbe19a6dce50afbfce45e6,"Shih,S.-R., Velu,A.B., Kuo,S.-M., Dash,S., Chen,G.-W., Han,Y.-J., Tsao,K.-C.","Chang Gung University, Research Center of Viral Infections",Taiwan,2016-01-01,,Betainfluenzavirus influenzae,1557,complete,"Taiwan: Clinical Virology Laboratory, Linkou Chang Gung Memorial Hospital",,Homo sapiens,,2009-01-21
GU117765.1,Influenza A virus (A/Nagasaki/I01/2009(H1N1)),GenBank,set:6a66f437402e2e13e7fc6cab13b8d871c7034006,"Kubo,T., Agoh,M., Mai le,Q., Fukushima,K., Nishimura,H., Yamaguchi,A., Hirano,M., Yoshikawa,A., Hasebe,F., Kohno,S., Morita,K.","Institute of Tropical Medicine, Nagasaki University, Department of Virology",Japan,2009-10-20,,Alphainfluenzavirus influenzae,1701,complete,Japan,,Homo sapiens,,2009-07
AB933706.1,Norovirus Hu/GII.4/Saga1/2011/JP,GenBank,set:AB933706,"Sato,H., Yokoyama,M., Motomura,K., Nakamura,H.","Pathogen Genomics Center; Gakuen 4-7-1, Musashi-Murayama, Tokyo 208-0011",Japan,2015-09-02,,Norwalk virus,7509,complete,Japan:Saga,,Homo sapiens,feces,2011
JN400622.1,Norovirus Hu/GII-4/CGMH24/2010/TW,GenBank,set:JN400622,"Tsai,C.N., Lin,C.Y., Lin,C.W., Shih,K.C., Chiu,C.H., Chen,S.Y., Tsai,C.-N., Lin,C.-Y., Lin,C.-W., Shih,K.-C., Chi,H.-C., Chao,H.-C., Lai,M.-W., Yu,T.-H., Chen,S.-Y., Chiu,C.-H.",Graduate Institute of clinical medical sciences,Taiwan,2012-07-08,,Norwalk virus,7509,complete,Taiwan,,Homo sapiens,feces,2010-01-13
JN596858.1,Influenza A virus (A/Orenburg/01/2009(H1N1)),GenBank,GCA_038550285.1,"Shikov,A.N., Ternovoi,V.A., Demina,O.K., Sementsova,A.O., Sergeeva,E.I., Berillo,S.A., Agafonov,A.P., Sergeev,A.N.","SRC VB Vector, Rospotrebnadzor",Russia,2011-09-04,,Alphainfluenzavirus influenzae,1752,complete,Russia,,Homo sapiens,oronasopharynx,2009-08-06
JN412824.1,Influenza A virus (A/Jakarta/008/2009(H1N1)),GenBank,set:847d53e28156c13e36a587f4f8948a5d4ccb4a93,"Yasmon,A., Yulianty, Dewi,B.E., Bela,B., Ibrahim,F.","Faculty of Medicine University of Indonesia, Microbiology",Indonesia,2011-12-31,,Alphainfluenzavirus influenzae,1701,complete,Indonesia: Jakarta,,Homo sapiens,,2009-08-06
DQ835310.1,Influenza A virus (A/China/GD01/2006(H5N1)),GenBank,set:651fac1dd71f5c7cd328eea30af27105be1fc706,"Jiang,L.F., Zhou,J.J., Fang,D.Y., Fu,J., Zhou,J.M., Yan,H.J., Tao,J.P., Lai,X.M., Liang,Y., Li,M.F.","The School of Preclinical Medicine, Sun Yatsen University, Department of Microbiology",,2007-01-01,,Alphainfluenzavirus influenzae,2341,complete,China,,Homo sapiens,,
NC_014469.1,Human papillomavirus 127,RefSeq,GCF_000890115.1,"Schowalter,R.M., Pastrana,D.V., Pumphrey,K.A., Moyer,A.L., Buck,C.B.","National Center for Biotechnology Information, NIH",USA,2010-08-25,R3a,Gammapapillomavirus 12,7181,complete,USA,,Homo sapiens,skin,2009
HQ325756.1,Influenza A virus (A/Sydney/202G/2007(H3N2)),GenBank,set:68d894c23418f8a005afbadec10fedd233beaca3,"Wong,K.K., Bull,R.A., Stelzer-Braid,S., Fennell,M., Rawlinson,W., Wong,K.Y., Bull,R.","Prince of Wales Hospital, Virology Divison, Department of Microbiology",Australia,2011-05-27,,Alphainfluenzavirus influenzae,2280,complete,Australia,,Homo sapiens,,2007-08-14
KC409273.1,Norovirus Hu/GII/20196/2009/VNM,GenBank,set:KC409273,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2013-02-16,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2009-10-11
OZ258612.1,Alphatorquevirus sp.,GenBank,,"Parkbhorn,J.","CENMIG, 272 Rama VI Road, Ratchathewi",Thailand,2025-05-17,,Alphatorquevirus sp.,3766,complete,Thailand,,Homo sapiens,,
JN412822.1,Influenza A virus (A/Jakarta/006/2009(H1N1)),GenBank,set:1dc405bc526273d8f48715461a086a5d490fa652,"Yasmon,A., Yulianty, Dewi,B.E., Bela,B., Ibrahim,F.","Faculty of Medicine University of Indonesia, Microbiology",Indonesia,2011-12-31,,Alphainfluenzavirus influenzae,1701,complete,Indonesia: Jakarta,,Homo sapiens,,2009-07-30
KU695610.1,Influenza A virus (A/India/Kol-T4/2015(H1N1)),GenBank,set:e96776cf769dd419cb3783ead3c1e23f176ae149,"Mukherjee,A., Chawla-Sarkar,M.","National Institute of Cholera and Enteric Diseases (Niced), Division of Virology, Virology",India,2016-03-05,,Alphainfluenzavirus influenzae,1745,complete,India,,Homo sapiens,,2015-04
KU758915.1,Influenza A virus (A/Gainesville/01/2016(H1N1)),GenBank,GCA_038811255.1,"Lednicky,J.A., Rand,K.H., Morris,J.G. Jr., Iovine,N.M., Loeb,J.C.","University of Florida - Gainesville, Environmental and Global Health",USA,2016-03-16,,Alphainfluenzavirus influenzae,863,complete,USA,,Homo sapiens,oronasopharynx,2016-01-20
LC037415.1,Norovirus Hu/GII/JP/2015/GII.P17_GII.17/Kawasaki308,GenBank,set:LC037415,"Matsushima,Y., Ishikawa,M., Shimizu,T., Komane,A., Kasuo,S., Shinohara,M., Nagasawa,K., Kimura,H., Ryo,A., Okabe,N., Haga,K., Doan,Y.H., Katayama,K., Shimizu,H.","Division of Virology; 3-25-13 Tonomachi, Kawasaki-ku, Kawasaki, Kanagawa 210-0821",Japan,2015-04-02,,Norwalk virus,7555,complete,"Japan: Kanagawa, Kawasaki City",,Homo sapiens,feces,2015
NC_015411.1,Sandfly fever Turkey virus,RefSeq,GCF_000891955.1,"Carhan,A., Uyar,Y., Ozkaya,E., Ertek,M., Dobler,G., Dilcher,M., Wang,Y., Spiegel,M., Hufert,F., Weidmann,M.","National Center for Biotechnology Information, NIH",USA,2011-04-26,,Phlebovirus siciliaense,4403,complete,Turkey,,Homo sapiens,blood,2008-08
ON881120.1,rhinovirus A9,GenBank,,"Xie,Z. Sr.","Beijing Pediatric Research Institute, Laboratory of Infection and Virology",China,2023-03-25,GZFE19044,Rhinovirus A,7132,complete,China,,Homo sapiens,oronasopharynx,2019-08-03
KF039735.1,Norovirus Hu/GI.1/CHA3A007/2008/USA,GenBank,set:KF039735,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Kim,M., Bok,K., Sosnovtsev,S.V., Wentworth,D.E., Green,K.Y.",J. Craig Venter Institute,USA,2013-05-27,,Norwalk virus,7600,complete,USA: Maryland,MD,Homo sapiens,,2008-10-05
OP255974.1,Parechovirus 1,GenBank,,"Schmitz,D., Zwagemaker,F., van der Veer,B., Vennema,H., Bosch,T., Laros,J.F.J., Koopmans,M.P.G., de Graaf,M., Kroneman,A.","Rijksinstituut voor Volksgezondheid en Milieu, Center for Infectious Diseases",Netherlands,2023-07-01,,Parechovirus 1,7340,complete,Netherlands,,Homo sapiens,feces,2016-03-01
KC244114.1,Influenza B virus (B/Chongqing Banan/1304/2010),GenBank,set:67eda8e7612251dacfd42478dabbf303ee75d5f2,"Wang,D., Sleeman,K., Huang,W., Nguyen,H.T., Levine,M., Cheng,Y., Li,X., Tan,M., Xing,X., Xu,X., Klimov,A.I., Gubareva,L.V., Shu,Y., Lan,Y., Zhao,X., Chen,Y., Wei,H., Guo,J.","National Institute for Viral Disease Control and Prevention, China CDC, Chinese National Influenza Center",China,2013-01-07,,Betainfluenzavirus influenzae,1408,complete,China: Chongqing,,Homo sapiens,,2010-08
KJ943402.1,Influenza A virus (A/Santiago/p19d5/2011(H1N1)),GenBank,set:e0e69a8188b8a28816b0b924afd6977addd57aca,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",J. Craig Venter Institute,USA,2014-07-13,,Alphainfluenzavirus influenzae,999,complete,Chile: Talagante,,Homo sapiens,,2011-08-04
KX097037.1,Influenza A virus (A/Cankiri/02/2016(H1N1)),GenBank,set:0c3c7dd6e3e46ff8145b2529e7e364f5e46e4cd9,"Coskun Ari,F.F., Altas,B., Bakkaloglu,Z., Korukluoglu,G., Guldemir,D., Bayrakdar,F., Unaldi,O., Aktas,A.R., Durmaz,R.","Public Health Institution of Turkey, Molecular Microbiology Reference Laboratories",Turkey,2016-05-15,,Alphainfluenzavirus influenzae,1701,complete,Turkey,,Homo sapiens,oronasopharynx,2016-01-07
KT241021.1,Influenza A virus (A/Dewas/4497/2015(H1N1)),GenBank,set:d97820d2bdd40fc5286328d89ee752ab8f509889,"Sahu,M., Shukla,M.K., Singh,N., Barde,P.V.","Regional Medical Research Centre for Tribals, Virology",India,2015-10-26,,Alphainfluenzavirus influenzae,1701,complete,India: Dewas,,Homo sapiens,oronasopharynx,2015-02-17
JX227977.1,Hepatitis C virus subtype 4o,GenBank,set:JX227977,"Newman,R.M., Kuntzen,T., Weiner,B., Berical,A., Charlebois,P., Kuiken,C., Murphy,D.G., Simmonds,P., Bennett,P., Lennon,N.J., Birren,B.W., Zody,M.C., Allen,T.M., Henn,M.R., Gnirke,A., Levin,J.Z., Malboeuf,C., Ryan,E., Green,L., Walker,B., Young,S., Zeng,Q., Fitzgerald,M., Berlin,A.M., Imamovic,A., Larson,L., Lui,A., Murphy,C., Nusbaum,C., Birren,B.",Broad Institute of MIT and Harvard,USA,2012-11-17,HCV-4o/GB/BID-G2037,Hepacivirus hominis,9286,complete,United Kingdom,,Homo sapiens,blood,
NC_038418.1,Cyclovirus SL-108277,RefSeq,GCF_002820225.1,"Delwart,E.","National Center for Biotechnology Information, NIH",USA,2018-08-24,,Cyclovirus manitan,1710,complete,Sri Lanka,,Homo sapiens,cerebrospinal fluid,2009
KJ943720.1,Influenza A virus (A/Santiago/p18d0/2012(H3N2)),GenBank,GCA_038650025.1,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",J. Craig Venter Institute,USA,2014-07-13,,Alphainfluenzavirus influenzae,1737,complete,Chile: Santiago,,Homo sapiens,,2012-07-06
GU119908.1,Sandfly fever Sicilian virus,GenBank,set:3c3d55f90622cacb06589c2d3baafd4deda6117d,"Papa,A., Konstantinou,G., Pavlidou,V., Antoniadis,A.","Aristotle University of Thessaloniki, Department of Microbiology",Greece,2009-11-15,,Phlebovirus siciliaense,1729,complete,Cyprus,,Homo sapiens,blood,2002
KC776174.1,Human betacoronavirus 2c Jordan-N3/2012,GenBank,set:KC776174,"Elassal,E.M., Demian,P.N., Defang,G.N., Rozanski,C.H., Curry,J.A., Oyofo,B.A., Al-Sanouri,T.M., Haddadin,A., Mohareb,E.W.","U.S. Naval Medical Research Unit No. 3, Viral and Zoonotic Diseases Research Program",Egypt,2013-03-25,,Middle East respiratory syndrome-related coronavirus,30030,complete,Jordan,,Homo sapiens,lung,2012-04
JX625232.1,Influenza A virus (A/Paraguay/98HCl/2009(H1N1)),GenBank,set:86789297fae9567a81d89a605b9d8b6b83b1d963,"Espinola,E.E., Amarilla,A.A., Martinez,M., Aquino,V.H., Russomando,G.","Instituto de Investigaciones en Ciencias de la Salud, Departamento de Biologia Molecular y Genetica",Paraguay,2013-06-30,,Alphainfluenzavirus influenzae,1701,complete,Paraguay,,Homo sapiens,oronasopharynx,2009-08-13
KX088388.1,Influenza A virus (A/Ankara/03/2015(H1N1)),GenBank,set:fea9fbe75ba13c8542b3f605094e1b141e2851f8,"Bakkaloglu,Z., Altas,B., Coskun-Ari,F.F., Bayrakdar,F., Unaldi,O., Korukluoglu,G., Guldemir,D., Aktas,A.R., Durmaz,R.","Public Health Institution of Turkey, Molecular Microbiology Reference Laboratories",Turkey,2016-05-15,,Alphainfluenzavirus influenzae,1701,complete,Turkey,,Homo sapiens,oronasopharynx,2015-12-22
LC387631.1,Hepatitis E virus type 4,GenBank,set:LC387631,"Baylis,S.A., Hanschmann,K.O., Matsubayashi,K., Sakata,H., Roque-Afonso,A.M., Kaiser,M., Corman,V.M., Kamili,S., Aggarwal,R., Trehanpati,N., Gartner,T., Thomson,E.C., Davis,C.A., da Silva Filipe,A., Abdelrahman,T.T., Blumel,J., Terao,E., Iida,J., Yoshimasa,T., Tanaka,A.","Quality Department; 2-1 Nijuyonken Nishi-ku, Sapporo, Hokkaido 063-0802",Japan,2018-08-01,HRC-HE15,Paslahepevirus balayani,7253,complete,"Japan: Hokkaido, Sapporo",,Homo sapiens,blood,2004-09
OR915058.1,Orthohantavirus puumalaense,GenBank,,"Rosenbaum,W., Bovinder Ylitalo,E., Castel,G., Sjodin,A., Larsson,P., Wigren Bystrom,J., Forsell,M.N.E., Ahlm,C., Pettersson,L., Tuiskunen Back,A., Tuiskunen Baeck,A.","Umea University, Dept. of Clinical Microbiology",Sweden,2024-04-15,Skelleftea,Orthohantavirus puumalaense,1835,complete,Sweden,,Homo sapiens,blood,2023-03
DQ447650.1,Lake Victoria marburgvirus - DRC1999,GenBank,set:DQ447650,"Towner,J.S., Khristova,M.L., Sealy,T.K., Vincent,M.J., Erickson,B.R., Bawiec,D.A., Hartman,A.L., Comer,J.A., Zaki,S.R., Stroher,U., Gomes da Silva,F., del Castillo,F., Rollin,P.E., Ksiazek,T.G., Nichol,S.T., Rollin,P.","Centers for Disease Control and Prevention, Special Pathogens Branch",USA,2006-04-15,,Orthomarburgvirus marburgense,19114,complete,Democratic Republic of the Congo,,Homo sapiens,blood,1999-05
MK069966.1,Enterovirus B73,GenBank,set:MK069966,"Ribeiro,G.O., Luchs,A., Milagres,F.A.P., Komninakis,S.V., Gill,D.E., Lobato,M.C.A.B.S., Brustulin,R., Chagas,R.T.D., Abrao,M.F.N.D.S., Soares,C.V.D.A., Witkin,S.S., Villanova,F., Deng,X., Sabino,E.C., Delwart,E., da Costa,A.C., Leal,E., Costa,A.C., Milagres,F.A.A.P., Lobato,M.C.A.B., Chagas,R.T., Abrao,M.F.N.S.","Federal University of Para, Institute of Biological Sciences",,2018-12-09,TO-127,Enterovirus B,6993,complete,Brazil,,Homo sapiens,,2015
KX789457.1,Influenza A virus (A/India/Kol-3828/2015(H1N1)),GenBank,set:fbfa2283f36af76aa0470306962fe311466183c3,"Mukherjee,A., Chawla-Sarkar,M.","National Institute of Cholera and Enteric Diseases (Niced), Division of Virology, Virology",India,2016-09-18,,Alphainfluenzavirus influenzae,1745,complete,India,,Homo sapiens,,2015-03-06
JQ714171.1,Influenza A virus (A/Tianjinjinnan/SWL164/2009(H1N1)),GenBank,set:a18f05794d864c42b5cbdca6e998ac2d12409a87,"Li,X., Kong,M., Chen,J., Su,X., Ding,J., Zou,M., Guo,L., Li,L.","Tianjin Centers for Disease Control and Prevention, Institute of Pathogenic Biology",China,2012-03-25,,Alphainfluenzavirus influenzae,1701,complete,China,,Homo sapiens,oronasopharynx,2009-08-06
KX088384.1,Influenza A virus (A/Adana/01/2015(H1N1)),GenBank,set:4d23d4095c1db45e70bd5dfad159cd0845d43437,"Bakkaloglu,Z., Altas,B., Coskun-Ari,F.F., Bayrakdar,F., Unaldi,O., Korukluoglu,G., Guldemir,D., Aktas,A.R., Durmaz,R.","Public Health Institution of Turkey, Molecular Microbiology Reference Laboratories",Turkey,2016-05-15,,Alphainfluenzavirus influenzae,1701,complete,Turkey,,Homo sapiens,oronasopharynx,2015-12-11
AB689846.2,Sapovirus Hu/Kumamoto130/Jul2010/JPN,GenBank,set:AB689846,"Harada,S., Oka,T., Tokuoka,E., Kiyota,N., Nishimura,K., Shimada,Y., Ueno,T., Ikezawa,S., Wakita,T., Wang,Q., Saif,L.J., Katayama,K.","Department of Virology II; Gakuen 4-7-1, Musashimurayama, Tokyo 208-0011",Japan,2012-08-10,,Sapovirus sapporoense,7458,complete,Japan:Kumamoto,,Homo sapiens,feces,2010-07
AB933669.1,Norovirus Hu/GII.4/Sakai1/2010/JP,GenBank,set:AB933669,"Sato,H., Yokoyama,M., Motomura,K., Nakamura,H.","Pathogen Genomics Center; Gakuen 4-7-1, Musashi-Murayama, Tokyo 208-0011",Japan,2015-09-02,,Norwalk virus,7509,complete,Japan:Sakai,,Homo sapiens,feces,2010
KJ196293.1,Norovirus GII/Hu/JP/2012/GII.Pe_GII.4_Sydney2012/Fukuyama/1,GenBank,set:KJ196293,"Park,Y., Wu,F.-T., Miki,M., Amano,K., Ozawa,K., Murakami,K., Todaka,R., Shimoike,T., Oka,T., Uchida,K., Shinohara,M., Katayama,K.","National Institute of Infectious Diseases, Department of Virology II",Japan,2014-08-10,Fukuyama/1,Norwalk virus,7559,complete,Japan,,Homo sapiens,,2012
HM241715.1,Influenza A virus (A/Nsk/NIV10348/2009(H1N1)),GenBank,set:cad1b93a70af1a0806849bcb59e36cecdc8cd4bf,"Mullick,J., Cherian,S.S., Potdar,V.A., Chadha,M.S., Mishra,A.C., Potdar,V., Chadha,M., Payyapilly,B., Keng,S., Jadhav,S., Cherian,S.","National Institute of Virology, Pune-411001, India, Avian Influenza",India,2010-05-21,10348,Alphainfluenzavirus influenzae,2328,complete,India,,Homo sapiens,,2009-09-07
